"(vosotros) erais","vous étiez (ser)","nouvelobs conjugaison ser imparfait"
"(ellos) eran","ils étaient (ser)","nouvelobs conjugaison ser imparfait"
"(yo) tengo","j'ai","nouvelobs conjugaison tener présent"
"(tú) tienes","tu as","nouvelobs conjugaison tener présent"
"(él) tiene","il a","nouvelobs conjugaison tener présent"
"(nosotros) tenemos","nous avons","nouvelobs conjugaison tener présent"
"(vosotros) tenéis","vous avez","nouvelobs conjugaison tener présent"
"(ellos) tienen","ils ont","nouvelobs conjugaison tener présent"
"(yo) tendré","j'aurai","nouvelobs conjugaison tener futur simple"
"(tú) tendrás","tu auras","nouvelobs conjugaison tener futur simple"
"(él) tendrá","il aura","nouvelobs conjugaison tener futur simple"
"(nosotros) tendremos","nous aurons","nouvelobs conjugaison tener futur simple"
"(vosotros) tendréis","vous aurez","nouvelobs conjugaison tener futur simple"
"(ellos) tendrán","ils auront","nouvelobs conjugaison tener futur simple"
"(yo) tenía","j'avais","nouvelobs conjugaison tener imparfait"
"(tú) tenías","tu avais","nouvelobs conjugaison tener imparfait"
"(él) tenía","il avait","nouvelobs conjugaison tener imparfait"
"(nosotros) teníamos","nous avions","nouvelobs conjugaison tener imparfait"
"(vosotros) teníais","vous aviez","nouvelobs conjugaison tener imparfait"
"(ellos) tenían","ils avaient","nouvelobs conjugaison tener imparfait"
"(yo) quiero","je veux","nouvelobs conjugaison querer présent"
"(tú) quieres","tu veux","nouvelobs conjugaison querer présent"
"(él) quiere","il veut","nouvelobs conjugaison querer présent"
"(nosotros) queremos","nous voulons","nouvelobs conjugaison querer présent"
"(vosotros) queréis","vous voulez","nouvelobs conjugaison querer présent"
"(ellos) quieren","ils veulent","nouvelobs conjugaison querer présent"
"(yo) querré","je voudrai","nouvelobs conjugaison querer futur simple"
"(tú) querrás","tu voudras","nouvelobs conjugaison querer futur simple"
"(él) querrá","il voudra","nouvelobs conjugaison querer futur simple"
"(nosotros) querremos","nous voudrons","nouvelobs conjugaison querer futur simple"
"(vosotros) querréis","vous voudrez","nouvelobs conjugaison querer futur simple"
"(ellos) querrán","ils voudront","nouvelobs conjugaison querer futur simple"
"(yo) quería","je voulais","nouvelobs conjugaison querer imparfait"
"(tú) querías","tu voulais","nouvelobs conjugaison querer imparfait"
"(él) quería","il voulait","nouvelobs conjugaison querer imparfait"
"(nosotros) queríamos","nous voulions","nouvelobs conjugaison querer imparfait"
"(vosotros) queríais","vous vouliez","nouvelobs conjugaison querer imparfait"
"(ellos) querían","ils voulaient","nouvelobs conjugaison querer imparfait"
"(yo) hablo","je parle","nouvelobs conjugaison hablar présent"
"(tú) hablas","tu parles","nouvelobs conjugaison hablar présent"
"(él) habla","il parle","nouvelobs conjugaison hablar présent"
"(nosotros) hablamos","nous parlons","nouvelobs conjugaison hablar présent"
"(vosotros) habláis","vous parlez","nouvelobs conjugaison hablar présent"
"(ellos) hablan","ils parlent","nouvelobs conjugaison hablar présent"
"(yo) hablaré","je parlerai","nouvelobs conjugaison hablar futur simple"
"(tú) hablarás","tu parleras","nouvelobs conjugaison hablar futur simple"
"(él) hablará","il parlera","nouvelobs conjugaison hablar futur simple"
"(nosotros) hablaremos","nous parlerons","nouvelobs conjugaison hablar futur simple"
"(vosotros) hablaréis","vous parlerez","nouvelobs conjugaison hablar futur simple"
"(ellos) hablarán","ils parleront","nouvelobs conjugaison hablar futur simple"
"(yo) hablaba","je parlais","nouvelobs conjugaison hablar imparfait"
"(tú) hablabas","tu parlais","nouvelobs conjugaison hablar imparfait"
"(él) hablaba","il parlait","nouvelobs conjugaison hablar imparfait"
"(nosotros) hablábamos","nous parlions","nouvelobs conjugaison hablar imparfait"
"(vosotros) hablabais","vous parliez","nouvelobs conjugaison hablar imparfait"
"(ellos) hablaban","ils parlaient","nouvelobs conjugaison hablar imparfait"
"(yo) estoy","je suis (estar)","nouvelobs conjugaison estar présent"
"(tú) estás","tu es (estar)","nouvelobs conjugaison estar présent"
"(él) está","il est (estar)","nouvelobs conjugaison estar présent"
"(nosotros) estamos","nous sommes (estar)","nouvelobs conjugaison estar présent"
"(vosotros) estáis","vous êtes (estar)","nouvelobs conjugaison estar présent"
"(ellos) están","ils sont (estar)","nouvelobs conjugaison estar présent"
"(yo) estaré","je serai (estar)","nouvelobs conjugaison estar futur simple"
"(tú) estarás","tu seras (estar)","nouvelobs conjugaison estar futur simple"
"(él) estará","il sera (estar)","nouvelobs conjugaison estar futur simple"
"(nosotros) estaremos","nous serons (estar)","nouvelobs conjugaison estar futur simple"
"(vosotros) estaréis","vous serez (estar)","nouvelobs conjugaison estar futur simple"
"(ellos) estarán","ils seront (estar)","nouvelobs conjugaison estar futur simple"
"(yo) estaba","j'étais (estar)","nouvelobs conjugaison estar imparfait"
"(tú) estabas","tu étais (estar)","nouvelobs conjugaison estar imparfait"
"(él) estaba","il était (estar)","nouvelobs conjugaison estar imparfait"
"(nosotros) estábamos","nous étions (estar)","nouvelobs conjugaison estar imparfait"
"(vosotros) estabais","vous étiez (estar)","nouvelobs conjugaison estar imparfait"
"(ellos) estaban","ils étaient (estar)","nouvelobs conjugaison estar imparfait"
"(yo) leo","je lis","nouvelobs conjugaison leer présent"
"(tú) lees","tu lis","nouvelobs conjugaison leer présent"
"(él) lee","il lit","nouvelobs conjugaison leer présent"
"(nosotros) leemos","nous lisons","nouvelobs conjugaison leer présent"
